1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1111 1111 47 47 47 1111 161 161 161 161 161 161
1a 1a 1a 1a 1a 1a 1a 1111 1111 1111 1111 1111 1111 1111 1a 1a 1a 1a 1111 47 47 47 46 1111 161 161 161 161 161 161
1a 1a 1a 1a 1a 1a 1a 1111 1111 1111 1111 1111 1111 1111 1a 1a 1a 1a 1111 47 47 47 46 1111 161 161 161 161 161 161
2 2 2 2 2 2 2 2 2 3 1a 1a 1a 1a 1a 1a 1a 1a 1111 1111 47 47 47 1111 161 161 161 161 161 161
0 0 0 0 0 0 0 0 0 4 1a 1a 1a 1a 1a 1a 1a 1a 1111 1111 1111 1111 1111 1111 161 161 161 161 161 161
9 9 9 9 9 9 9 10 0 4 1a 1a 1111 1111 1111 1111 1a 1a 1a 1a 1a 1a 1a 1a 161 161 161 161 161 161
1 1 1 1 1 1 1 7 0 4 1a 1a 1111 1111 1111 1111 1a 8 2 2 2 2 2 2 161 161 161 161 161 161
1 1 1 1 1 1 1 7 0 4 1a 1a 1111 1111 1111 1111 1a 7 0 0 0 0 0 0 161 161 161 161 161 161
1 1 1 1 1 1 1 7 0 4 1a 1a 1a 1a 1a 1a 1a 7 0 13 9 9 9 9 161 161 161 161 161 161
1 1 1 1 1 1 1 7 0 5 2 2 2 2 2 2 2 6 0 4 1 1 1 1 161 161 161 161 161 161
1 1 1 1 1 1 1 7 0 0 0 0 0 0 0 0 0 0 0 4 1 1 1 1 161 161 161 161 161 161
1 1 1 1 1 1 1 11 9 9 9 9 9 9 9 9 9 9 9 12 1 1 1 1 161 161 161 161 161 161
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 161 161 161 161 161 161
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 161 161 161 161 161 161
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 161 161 161 161 161 161
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 0 0 0
1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
